NM,range,mean_max_03,tpr,tnr
2.5,5545,0.79741,0.07709,0.07709
3,5555,0.80716,0.04562,0.04562
3,5565,0.80716,0.04562,0.04562
3,5575,0.80716,0.04562,0.04562
3,5585,0.80716,0.04562,0.04562
3,5595,0.80716,0.04562,0.04562
3,5605,0.80716,0.04562,0.04562
3,5615,0.80716,0.04562,0.04562
3,5625,0.80716,0.04562,0.04562
3,5635,0.80716,0.04562,0.04562
3,5645,0.80716,0.04562,0.04562
3,5655,0.80716,0.04562,0.04562
3,5665,0.80716,0.04562,0.04562
3,5675,0.80716,0.04562,0.04562
3,5685,0.80716,0.04562,0.04562
3,5695,0.80716,0.04562,0.04562
3,5705,0.80716,0.04562,0.04562
3,5715,0.80716,0.04562,0.04562
3,5725,0.80716,0.04562,0.04562
3,5735,0.80716,0.04562,0.04562
3,5745,0.80716,0.04562,0.04562
3,5755,0.80716,0.04562,0.04562
3,5765,0.80716,0.04562,0.04562
3,5775,0.80716,0.04562,0.04562
3,5785,0.80716,0.04562,0.04562
3,5795,0.80716,0.04562,0.04562
3,5805,0.80716,0.04562,0.04562
3,5815,0.80716,0.04562,0.04562
3,5825,0.80716,0.04562,0.04562
3,5835,0.80716,0.04562,0.04562
3,5845,0.80716,0.04562,0.04562
3,5855,0.80716,0.04562,0.04562
3,5865,0.80716,0.04562,0.04562
3,5875,0.80716,0.04562,0.04562
3,5885,0.80716,0.04562,0.04562
3,5895,0.80716,0.04562,0.04562
3,5905,0.80716,0.04562,0.04562
3,5915,0.80716,0.04562,0.04562
3,5925,0.80716,0.04562,0.04562
3,5935,0.80716,0.04562,0.04562
3,5945,0.80716,0.04562,0.04562
3,5955,0.80716,0.04562,0.04562
3,5965,0.80716,0.04562,0.04562
3,5975,0.80716,0.04562,0.04562
3,5985,0.80716,0.04562,0.04562
3,5995,0.80716,0.04562,0.04562
3,6005,0.80716,0.04562,0.04562
3,6015,0.80716,0.04562,0.04562
3,6025,0.80716,0.04562,0.04562
3,6035,0.80716,0.04562,0.04562
3,6045,0.80716,0.04562,0.04562
3,6055,0.80716,0.04562,0.04562
3,6065,0.80716,0.04562,0.04562
3,6075,0.80716,0.04562,0.04562
3,6085,0.80716,0.04562,0.04562
3,6095,0.80716,0.04562,0.04562
3,6105,0.80716,0.04562,0.04562
3,6115,0.80716,0.04562,0.04562
3,6125,0.80716,0.04562,0.04562
3,6135,0.80716,0.04562,0.04562
3,6145,0.80716,0.04562,0.04562
3,6155,0.80716,0.04562,0.04562
3,6165,0.80716,0.04562,0.04562
3,6175,0.80716,0.04562,0.04562
3,6185,0.80716,0.04562,0.04562
3,6195,0.80716,0.04562,0.04562
3,6205,0.80716,0.04562,0.04562
3,6215,0.80716,0.04562,0.04562
3,6225,0.80716,0.04562,0.04562
3,6235,0.80716,0.04562,0.04562
3,6245,0.80716,0.04562,0.04562
3,6255,0.80716,0.04562,0.04562
3,6265,0.80716,0.04562,0.04562
3,6275,0.80716,0.04562,0.04562
3,6285,0.80716,0.04562,0.04562
3,6295,0.80716,0.04562,0.04562
3,6305,0.80716,0.04562,0.04562
3,6315,0.80716,0.04562,0.04562
3,6325,0.80716,0.04562,0.04562
3,6335,0.80716,0.04562,0.04562
3,6345,0.80716,0.04562,0.04562
3,6355,0.80716,0.04562,0.04562
3,6365,0.80716,0.04562,0.04562
3,6375,0.80716,0.04562,0.04562
3,6385,0.80716,0.04562,0.04562
3,6395,0.80716,0.04562,0.04562
3,6405,0.80716,0.04562,0.04562
3,6415,0.80716,0.04562,0.04562
3,6425,0.80716,0.04562,0.04562
3,6435,0.80716,0.04562,0.04562
3,6445,0.80716,0.04562,0.04562
3,6455,0.80716,0.04562,0.04562
3,6465,0.80716,0.04562,0.04562
3.5,6475,0.7966,0.02003,0.02003
3.5,6485,0.7966,0.02003,0.02003
3.5,6495,0.7966,0.02003,0.02003
3.5,6505,0.7966,0.02003,0.02003
3.5,6515,0.7966,0.02003,0.02003
3.5,6525,0.7966,0.02003,0.02003
3.5,6535,0.7966,0.02003,0.02003
3.5,6545,0.7966,0.02003,0.02003
3.5,6555,0.7966,0.02003,0.02003
3.5,6565,0.7966,0.02003,0.02003
3.5,6575,0.7966,0.02003,0.02003
3.5,6585,0.7966,0.02003,0.02003
3.5,6595,0.7966,0.02003,0.02003
3.5,6605,0.7966,0.02003,0.02003
3.5,6615,0.7966,0.02003,0.02003
