range,tpr,tnr
8835,0.00781,0.00781
8845,0.00781,0.00781
8855,0.00781,0.00781
8865,0.00781,0.00781
8875,0.00781,0.00781
8885,0.00781,0.00781
8895,0.00781,0.00781
8905,0.00781,0.00781
8915,0.00781,0.00781
8925,0.00781,0.00781
8935,0.00781,0.00781
8945,0.00781,0.00781
8955,0.00781,0.00781
8965,0.00781,0.00781
8975,0.00781,0.00781
8985,0.00781,0.00781
8995,0.00781,0.00781
9005,0.00781,0.00781
9015,0.00781,0.00781
9025,0.00781,0.00781
9035,0.00781,0.00781
9045,0.00781,0.00781
9055,0.00781,0.00781
9065,0.00781,0.00781
9075,0.00781,0.00781
9085,0.00781,0.00781
9095,0.00781,0.00781
9105,0.00781,0.00781
9115,0.00781,0.00781
9125,0.00781,0.00781
9135,0.00781,0.00781
9145,0.00781,0.00781
9155,0.00781,0.00781
9165,0.00781,0.00781
9175,0.00781,0.00781
9185,0.00781,0.00781
9195,0.00781,0.00781
9205,0.00781,0.00781
9215,0.00781,0.00781
9225,0.00781,0.00781
9235,0.00781,0.00781
9245,0.00781,0.00781
9255,0.00284,0.00284
9265,0.00284,0.00284
9275,0.00284,0.00284
9285,0.00284,0.00284
9295,0.00284,0.00284
9305,0.00284,0.00284
9315,0.00284,0.00284
9325,0.00284,0.00284
9335,0.00284,0.00284
9345,0.00284,0.00284
9355,0.00284,0.00284
9365,0.00284,0.00284
9375,0.00284,0.00284
9385,0.00284,0.00284
9395,0.00284,0.00284
9405,0.00284,0.00284
9415,0.00284,0.00284
9425,0.00284,0.00284
9435,0.00284,0.00284
9445,0.00284,0.00284
9455,0.00284,0.00284
9465,0.00284,0.00284
9475,0.00284,0.00284
9485,0.00284,0.00284
9495,0.00284,0.00284
9505,0.00284,0.00284
9515,0.00284,0.00284
9525,0.00284,0.00284
9535,0.00284,0.00284
9545,0.00284,0.00284
9555,0.00284,0.00284
9565,0.00284,0.00284
9575,0.00284,0.00284
9585,0.00284,0.00284
9595,0.00284,0.00284
9605,0.00284,0.00284
9615,0.00284,0.00284
9625,0.00284,0.00284
9635,0.00284,0.00284
9645,0.00284,0.00284
9655,0.00284,0.00284
9665,0.00284,0.00284
9675,0.00284,0.00284
9685,0.00284,0.00284
9695,0.00284,0.00284
9705,0.00284,0.00284
9715,0.00284,0.00284
9725,0.00284,0.00284
9735,0.00284,0.00284
9745,0.00284,0.00284
9755,0.00284,0.00284
9765,0.00284,0.00284
9775,0.00284,0.00284
9785,0.00284,0.00284
9795,0.00284,0.00284
9805,0.00284,0.00284
9815,0.00284,0.00284
9825,0.00284,0.00284
9835,0.00284,0.00284
9845,0.00284,0.00284
9855,0.00284,0.00284
9865,0.00284,0.00284
9875,0.00284,0.00284
9885,0.00284,0.00284
9895,0.00284,0.00284
9905,0.00284,0.00284
9915,0.00284,0.00284
9925,0.00284,0.00284
9935,0.00284,0.00284
9945,0.00284,0.00284
9955,0.00284,0.00284
9965,0.00284,0.00284
9975,0.00284,0.00284
9985,0.00284,0.00284
9995,0.00284,0.00284
10005,0.00284,0.00284
10015,0.00284,0.00284
10025,0.00284,0.00284
10035,0.00284,0.00284
10045,0.00284,0.00284
10055,0.00284,0.00284
10065,0.00284,0.00284
10075,0.00284,0.00284
10085,0.00284,0.00284
10095,0.00284,0.00284
10105,0.00284,0.00284
10115,0.00284,0.00284
10125,0.00284,0.00284
10135,0.00284,0.00284
10145,0.00284,0.00284
10155,0.00284,0.00284
10165,0.00284,0.00284
10175,0.0036,0.0036
10185,0.0036,0.0036
10195,0.0036,0.0036
10205,0.0036,0.0036
10215,0.0036,0.0036
10225,0.0036,0.0036
10235,0.0036,0.0036
10245,0.0036,0.0036
10255,0.0036,0.0036
10265,0.0036,0.0036
10275,0.0036,0.0036
10285,0.0036,0.0036
10295,0.0036,0.0036
10305,0.0036,0.0036
10315,0.0036,0.0036
10325,0.0036,0.0036
10335,0.0036,0.0036
10345,0.0036,0.0036
10355,0.0036,0.0036
10365,0.0036,0.0036
10375,0.0036,0.0036
10385,0.0036,0.0036
10395,0.0036,0.0036
10405,0.0036,0.0036
10415,0.0036,0.0036
10425,0.0036,0.0036
10435,0.0036,0.0036
10445,0.0036,0.0036
10455,0.0036,0.0036
10465,0.0036,0.0036
10475,0.0036,0.0036
10485,0.0036,0.0036
10495,0.0036,0.0036
10505,0.0036,0.0036
10515,0.0036,0.0036
10525,0.0036,0.0036
10535,0.0036,0.0036
10545,0.0036,0.0036
10555,0.0036,0.0036
10565,0.0036,0.0036
10575,0.0036,0.0036
10585,0.0036,0.0036
10595,0.0036,0.0036
10605,0.0036,0.0036
10615,0.0036,0.0036
10625,0.0036,0.0036
10635,0.0036,0.0036
10645,0.0036,0.0036
10655,0.0036,0.0036
10665,0.0036,0.0036
10675,0.0036,0.0036
10685,0.0036,0.0036
10695,0.0036,0.0036
10705,0.0036,0.0036
10715,0.0036,0.0036
